Model,Target,GDT-TS,GDC-SC,TMscore,Global LDDT,MolProbity
chai1,T1104.pdb,37.608695652173914,nan,nan,0.5405764125900645,nan
chai1,T1106s1.pdb,29.57746478873239,nan,nan,0.7548143053645118,nan
chai1,T1106s2.pdb,94.36936936936937,nan,nan,0.9593763724198509,nan
chai1,T1112.pdb,nan,nan,nan,nan,nan
chai1,T1114s1.pdb,19.91525423728813,nan,nan,0.7461538461538462,nan
chai1,T1114s2.pdb,57.065217391304344,nan,nan,0.7451174079927749,nan
chai1,T1114s3.pdb,90.380859375,nan,nan,0.8728362381773839,nan
chai1,T1120.pdb,16.22807017543859,nan,nan,0.8484060984060984,nan
chai1,T1122.pdb,21.086956521739133,nan,nan,0.509841628959276,nan
chai1,T1129s2.pdb,1.95121951219512,nan,nan,0.1636045886359562,nan
chai1,T1133.pdb,91.56479217603912,nan,nan,0.915641355247452,nan
chai1,T1134s1.pdb,91.63043478260869,nan,nan,0.9209575030858757,nan
chai1,T1134s2.pdb,4.16666666666666,nan,nan,0.2051144492131616,nan
chai1,T1137s1.pdb,0.0,nan,nan,0.7950710900473934,nan
chai1,T1137s2.pdb,0.0,nan,nan,0.4989748846745259,nan
chai1,T1137s3.pdb,0.0,nan,nan,0.2938862559241706,nan
chai1,T1137s4.pdb,0.0,nan,nan,0.3133870349060222,nan
chai1,T1137s5.pdb,0.0,nan,nan,0.4390095280301351,nan
chai1,T1137s6.pdb,0.0,nan,nan,0.3482647296206618,nan
chai1,T1137s7.pdb,0.70153061224489,nan,nan,0.2090047393364928,nan
chai1,T1137s8.pdb,0.0,nan,nan,0.3255129179331307,nan
chai1,T1137s9.pdb,3.09187279151943,nan,nan,0.3113192182410423,nan
chai1,T1145.pdb,4.1930379746835404,nan,nan,0.6050158091405576,nan
chai1,T1147.pdb,95.38043478260867,nan,nan,0.926200204290092,nan
chai1,T1151s2.pdb,86.30952380952381,nan,nan,0.8276774595267746,nan
chai1,T1155.pdb,50.86206896551724,nan,nan,0.6063392470791865,nan
chai1,T1157s2.pdb,1.1111111111111098,nan,nan,0.2340804356933389,nan
chai1,T1159.pdb,50.31250000000001,nan,nan,0.6560173697270472,nan
chai1,T1183.pdb,17.67676767676767,nan,nan,0.4359443631039532,nan
chai1,T1185s1.pdb,43.92857142857143,nan,nan,0.843809980806142,nan
chai1,T1185s2.pdb,1.07142857142857,nan,nan,0.1029270633397312,nan
chai1,T1185s4.pdb,5.35714285714285,nan,nan,0.161468330134357,nan
chai1,T1194.pdb,81.85975609756098,nan,nan,0.8385069266290406,nan
chai1,T0272s2.pdb,2.69121813031161,nan,nan,0.218677662037037,nan
chai1,T0272s3.pdb,2.72435897435897,nan,nan,0.1811053738764582,nan
chai1,T0272s4.pdb,0.8802816901408401,nan,nan,0.1765206295193534,nan
chai1,T0272s5.pdb,1.20274914089347,nan,nan,0.188908974904296,nan
chai1,T0272s6.pdb,14.1875,nan,nan,0.804076819407008,nan
chai1,T0272s7.pdb,0.20661157024792998,nan,nan,0.2269034724434533,nan
chai1,T0272s8.pdb,1.44836272040302,nan,nan,0.1410154021677125,nan
chai1,T0272s9.pdb,0.0,nan,nan,0.2005431675242996,nan
chai1,T1212.pdb,41.20171673819742,nan,nan,0.7468637579559081,nan
chai1,T1227s1.pdb,82.46173469387755,nan,nan,0.8912942751235585,nan
chai1,T1266.pdb,53.691275167785236,nan,nan,0.7106355470876429,nan
chai1,T1272s2.pdb,2.54957507082153,nan,nan,0.2162905092592592,nan
chai1,T1272s3.pdb,2.40384615384615,nan,nan,0.1759418626888506,nan
chai1,T1272s4.pdb,0.0,nan,nan,0.1839642705231816,nan
chai1,T1272s5.pdb,1.03092783505154,nan,nan,0.1935346660995321,nan
chai1,T1272s6.pdb,15.56249999999999,nan,nan,0.817722371967655,nan
chai1,T1272s7.pdb,1.2396694214876,nan,nan,0.2354252946798343,nan
chai1,T1272s8.pdb,1.63727959697733,nan,nan,0.1435539075869937,nan
chai1,T1272s9.pdb,0.10548523206751,nan,nan,0.2071183533447684,nan
chai1,T1280.pdb,96.04700854700856,nan,nan,0.9584893374572684,nan
chai1,T1299.pdb,95.08928571428572,nan,nan,0.9487317862924988,nan
chai1,T2272s2.pdb,2.12464589235127,nan,nan,0.2106843171296296,nan
chai1,T2272s3.pdb,0.16025641025641,nan,nan,0.1945400650219927,nan
chai1,T2272s4.pdb,0.96830985915492,nan,nan,0.1811994895789026,nan
chai1,T2272s5.pdb,1.1168384879725,nan,nan,0.1942258613356018,nan
chai1,T2272s6.pdb,3.0625,nan,nan,0.7956255615453729,nan
chai1,T2272s7.pdb,1.65289256198347,nan,nan,0.2396463841987894,nan
chai1,T2272s8.pdb,0.6926952141057899,nan,nan,0.141814033086138,nan
chai1,T2272s9.pdb,0.0,nan,nan,0.2026157804459691,nan
