Model,Target,GDT-TS,GDC-SC,TMscore,Global LDDT,MolProbity
colabfold,T1104.pdb,42.173913043478265,nan,nan,0.4841676147136898,nan
colabfold,T1106s1.pdb,4.72972972972973,nan,nan,0.2924901185770751,nan
colabfold,T1106s2.pdb,45.04504504504504,nan,nan,0.5713658322353974,nan
colabfold,T1112.pdb,12.72321428571428,nan,nan,0.2834385396229634,nan
colabfold,T1114s1.pdb,3.57142857142857,nan,nan,0.2784260515603799,nan
colabfold,T1114s2.pdb,1.49051490514905,nan,nan,0.2387633839275209,nan
colabfold,T1114s3.pdb,15.380859375,nan,nan,0.2882338944738564,nan
colabfold,T1120.pdb,4.4392523364485905,nan,nan,0.3336834733893557,nan
colabfold,T1122.pdb,13.586956521739129,nan,nan,0.357579185520362,nan
colabfold,T1129s2.pdb,0.7421875,nan,nan,0.1453203297591465,nan
colabfold,T1133.pdb,6.23471882640586,nan,nan,0.2446745018822881,nan
colabfold,T1134s1.pdb,94.1304347826087,nan,nan,0.9398254276141774,nan
colabfold,T1134s2.pdb,4.0217391304347805,nan,nan,0.2609328160818198,nan
colabfold,T1137s1.pdb,0.0,nan,nan,0.3938388625592417,nan
colabfold,T1137s2.pdb,0.0,nan,nan,0.5964558097801704,nan
colabfold,T1137s3.pdb,0.0,nan,nan,0.47739336492891,nan
colabfold,T1137s4.pdb,0.0,nan,nan,0.3918957345971564,nan
colabfold,T1137s5.pdb,0.57692307692307,nan,nan,0.4211409395973154,nan
colabfold,T1137s6.pdb,0.12755102040816,nan,nan,0.4691469194312796,nan
colabfold,T1137s7.pdb,1.0204081632653,nan,nan,0.3095260663507109,nan
colabfold,T1137s8.pdb,2.91353383458646,nan,nan,0.3862045760430686,nan
colabfold,T1137s9.pdb,0.25951557093425004,nan,nan,0.423651929465883,nan
colabfold,T1145.pdb,9.41455696202531,nan,nan,0.2831273354412187,nan
colabfold,T1147.pdb,12.5,nan,nan,0.302093973442288,nan
colabfold,T1151s2.pdb,11.011904761904761,nan,nan,0.2946762141967621,nan
colabfold,T1155.pdb,54.52586206896552,nan,nan,0.5967113803548247,nan
colabfold,T1157s2.pdb,2.52525252525252,nan,nan,0.2065431224425558,nan
colabfold,T1159.pdb,96.71875,nan,nan,0.9600496277915632,nan
colabfold,T1183.pdb,3.375,nan,nan,0.286036036036036,nan
colabfold,T1185s1.pdb,25.35714285714285,nan,nan,0.447936660268714,nan
colabfold,T1185s2.pdb,0.71428571428571,nan,nan,0.3766794625719769,nan
colabfold,T1185s4.pdb,3.92857142857142,nan,nan,0.286468330134357,nan
colabfold,T1194.pdb,10.240963855421679,nan,nan,0.3103954081632653,nan
colabfold,T1227s1.pdb,2.04081632653061,nan,nan,0.1963550247116968,nan
colabfold,T1266.pdb,9.8993288590604,nan,nan,0.2613296135002722,nan
colabfold,T1272s2.pdb,2.4793388429752,nan,nan,0.1851397280966767,nan
colabfold,T1272s3.pdb,1.17924528301886,nan,nan,0.1717260595395219,nan
colabfold,T1272s4.pdb,2.50865051903114,nan,nan,0.1677103403982016,nan
colabfold,T1272s5.pdb,1.6323024054982802,nan,nan,0.1701906134871055,nan
colabfold,T1272s6.pdb,2.0,nan,nan,0.1586084905660377,nan
colabfold,T1272s7.pdb,1.75619834710743,nan,nan,0.1647737277689734,nan
colabfold,T1272s9.pdb,3.1512605042016797,nan,nan,0.1682605557560447,nan
colabfold,T1280.pdb,31.51709401709401,nan,nan,0.4589776981930653,nan
colabfold,T1299.pdb,95.38690476190476,nan,nan,0.9499460334592552,nan
