model,target_id,n_reps,mean_best_lddt_ca,std_best_lddt_ca,min_best_lddt_ca,max_best_lddt_ca,max_abs_dev_lddt_ca,tolerance,exempt_nondeterministic,violation,per_rep_values
af2,T1104,3,0.7803691063076729,0.11354264634079812,0.6557641259006447,0.8779863481228669,0.2222222222222222,0.001,True,False,rep1=0.877986|rep2=0.807357|rep3=0.655764
af2,T1106s1,3,0.9078404401650619,0.003316248542294741,0.9054332874828062,0.9116231086657498,0.0061898211829436445,0.001,True,False,rep1=0.905433|rep2=0.906465|rep3=0.911623
af2,T1106s2,3,0.9523129849216806,0.00016771247602687702,0.9521299956082564,0.95245937637242,0.000329380764163556,0.001,True,False,rep1=0.952350|rep2=0.952459|rep3=0.952130
af2,T1112,3,0.8854388808325514,0.0005175578392695115,0.8851189968438112,0.886035997611533,0.0009170007677217207,0.001,True,False,rep1=0.885119|rep2=0.886036|rep3=0.885162
af2,T1114s1,3,0.8514423076923077,0.0042731703929401715,0.8480769230769231,0.85625,0.008173076923076894,0.001,True,False,rep1=0.848077|rep2=0.850000|rep3=0.856250
af2,T1114s2,3,0.92073078949349,0.0006262301211952041,0.9201569202980358,0.9213987356062316,0.0012418153081958927,0.001,True,False,rep1=0.920637|rep2=0.920157|rep3=0.921399
af2,T1114s3,3,0.9415957805405192,0.0049295629949211335,0.936827077508774,0.9466718220212956,0.009844744512521597,0.001,True,False,rep1=0.941288|rep2=0.936827|rep3=0.946672
af2,T1120,3,0.8992261492261492,0.0012665576460765373,0.8983021483021483,0.9006699006699006,0.0023677523677523293,0.001,True,False,rep1=0.898706|rep2=0.900670|rep3=0.898302
af2,T1122,3,0.4130656108597284,0.008690367439345167,0.4032239819004525,0.4196832579185521,0.0164592760180996,0.001,True,False,rep1=0.419683|rep2=0.416290|rep3=0.403224
af2,T1129s2,3,0.6508921682098766,0.025734778402428857,0.6294415509259259,0.6794270833333333,0.04998553240740744,0.001,True,False,rep1=0.643808|rep2=0.629442|rep3=0.679427
